ds_n,model,strategy,n.samples,n.attributes,n.rare,p.rare,L1.mean,L1.min,L1.max,L1.sd,L2.mean,L2.min,L2.max,L3.mean,L3.min,L3.max,L3.sd,T2,T3,T4,C2.mean,C2.min,C2.max,C2.sd,C3.mean,C3.min,C3.max,C3.sd,C4.mean,S1.mean,S1.min,S1.max,S1.sd,S2.mean,S2.min,S2.max,S2.sd,S3.mean,S3.min,S3.max,S3.sd,S4.mean,S4.min,S4.max,S4.sd
a1,MLP,GN,198,11,28,14.1414141414141,0.142973320691045,0.000542373491297,0.703423363724887,0.123831718951009,0.03569821911537,0.03569821911537,0.03569821911537,0.0304471527175586,1.19557127501255E-05,0.445997605682775,0.0569477343467919,0.0555555555555556,0.005050505050505,0.0909090909090909,0.410926971876794,0.0561548437601257,0.671019364191464,0.189590188485384,0.511937557392103,0.222222222222222,0.893939393939394,0.22298163087974,0.656565656565657,0.182605451482708,0,1,0.209856140941357,0.176902621308706,0.0404952487484743,0.410864204098702,0.0720157822794556,0.0803181829956251,0,1,0.157169926775688,0.0269835897643135,0,0.667423245058294,0.0929428220444856
a2,SVR,GN,198,11,22,11.1111111111111,0.0850427412266006,0.0012077443248892,0.900082952866859,0.105213755083417,0.0182462933352053,0.0182462933352053,0.0182462933352053,0.0165461943392214,2.1652492144659E-06,0.794888643773923,0.0681440197084693,0.0555555555555556,0.005050505050505,0.0909090909090909,0.293663768373376,0.0054608611140662,0.481094608772682,0.148576207459401,0.77089072543618,0.631313131313131,0.95959595959596,0.104930796383882,0.161616161616162,0.136356644432325,0,1,0.185871173362891,0.172964091490795,0.0103848995903006,0.390445550856569,0.0790842776812496,0.0588490257399485,0,1,0.163719670908296,0.0128251020483778,0,0.892490255374501,0.0721842531237715
a3,MLP,SMT,198,11,32,16.1616161616162,0.101253787756355,8.4949990067427E-05,0.891537929070755,0.111329228625768,0.0225839297261325,0.0225839297261325,0.0225839297261325,0.0184307512255011,4.91083492098E-09,0.477279743346063,0.0481421473834566,0.0555555555555556,0.005050505050505,0.0909090909090909,0.111944639181812,0.0029915612625356,0.303849570378114,0.0937139841954937,0.764462809917355,0.641414141414141,0.858585858585859,0.0704639661806573,0.237373737373737,0.131196925850372,0,1,0.164783644931274,0.178907579218855,0.0407182824612134,0.431022945524977,0.0793892166848195,0.0503181765246138,0,1,0.139615733511071,0.0139590875785511,0,0.257511556623092,0.0456730279101886
a4,MLP,RU,198,11,31,15.6565656565657,0.0477470899695994,0.0003002092024998,0.588237566628633,0.0657334672651838,0.0065788506489715,0.0065788506489715,0.0065788506489715,0.0044887069460423,3.343510650295E-07,0.313350087412346,0.0232078202939754,0.0555555555555556,0.005050505050505,0.0909090909090909,0.167631713813044,0.0144725511198659,0.394782613804333,0.126060624344121,0.825068870523416,0.782828282828283,0.909090909090909,0.0418474941961465,0.0353535353535354,0.0522751587717102,0,0.957399103139013,0.0964014086396846,0.159664816556789,0.0094510591701818,0.393783386494873,0.0776608708397082,0.0120217741776591,0,0.916613042691387,0.0706090163472003,0.0017920632768099,0,0.081437252581697,0.0082675428728804
a5,MLP,RU,198,11,21,10.6060606060606,0.0987440366092655,0.0006518080996471,0.869998813963637,0.109364879382987,0.0216506541495469,0.0216506541495469,0.0216506541495469,0.0178673769812452,7.10073071887E-09,0.353479465797652,0.0483393108087982,0.0555555555555556,0.005050505050505,0.0909090909090909,0.209345377053206,0.0254815149550584,0.479894650876871,0.158406977825541,0.744260789715335,0.681818181818182,0.929292929292929,0.0731285481114351,0.247474747474747,0.117711620249691,0,0.918918918918919,0.16299627576545,0.166042369003434,0.01659024631168,0.511651090474617,0.0810262300198288,0.0420049451580983,0,0.683228836945053,0.108220417827125,0.0163393895908947,0,0.589200808110399,0.0680165482524306
a6,MLP,WC,198,11,33,16.6666666666667,0.0746100069643675,0.0002347102546095,0.618008193295733,0.090366184434851,0.0136914577654591,0.0136914577654591,0.0136914577654591,0.012990370232037,3.52855635173942E-06,0.265729778144607,0.0383294323717597,0.0555555555555556,0.005050505050505,0.0909090909090909,0.212316465810698,0.0852530767413889,0.47484995742085,0.106700264101744,0.831037649219467,0.782828282828283,0.898989898989899,0.0392098545577191,0.131313131313131,0.0902454340886493,0,0.771907216494845,0.146518505548428,0.157001302269816,0.01659024631168,0.376514904702591,0.0772107048236774,0.0295362824224818,0,0.59584075087682,0.0867446213945958,0.0059436928157282,0,0.349520337258332,0.0327900418702289
a7,DT,SG,198,11,27,13.6363636363636,0.0902190829100392,0.0005278421168283,0.857619662388676,0.127661528538807,0.0243546383563119,0.0243546383563119,0.0243546383563119,0.0220984068171001,7.460879849616E-08,0.717250862253663,0.0864224264532868,0.0555555555555556,0.005050505050505,0.0909090909090909,0.163977916422301,0.008662976985932,0.324374176605547,0.102849452481938,0.851698806244261,0.787878787878788,0.924242424242424,0.0392689500766453,0.0808080808080808,0.108108976418428,0,1,0.18003476432646,0.167750274449816,0.0407182824612134,0.467182519746963,0.083003309780603,0.0453566772516059,0,0.907316535811569,0.143907463650552,0.0107463885368685,0,0.577040723140689,0.0613117827165164
abalone,RF,WC,4177,8,679,16.2556858989706,0.0565856704080313,4.78199919444342E-06,0.502079659331121,0.054390126375853,0.0061595157105201,0.0061595157105201,0.0061595157105201,0.0052152115328636,5.223016686E-11,0.180944742156516,0.0121878034505229,0.0019152501795547,0.0004788125448886,0.25,0.596235194556217,0.407814534323592,0.692474560779356,0.0878914041248734,0.338819727076849,0.203255925305243,0.852286329901843,0.210924195044386,0.0969595403399569,0.0701970443349754,0,0.678571428571429,0.0731881950425699,0.0962002109791515,0.0015722096317546,0.532613489496556,0.0758940846306807,0.0103552373786479,0,0.460459183673469,0.0234757428282955,0.0060652121856796,0,0.215561224489796,0.0172886119780364
acceleration,RF,WC,1732,14,89,5.13856812933025,0.0388252882969663,7.3850299526575E-07,0.466802209922158,0.0349404585203243,0.0027275337824902,0.0027275337824902,0.0027275337824902,0.0022623244573465,2.0323654298E-10,0.217903992989423,0.0076305147943372,0.0080831408775981,0.0023094688221709,0.285714285714286,0.384525319198138,0.057669430813112,0.918911532619636,0.291253644955151,0.456408775981524,0,0.911662817551963,0.270083861564625,0.0017321016166281,0.0333757257625442,0,0.366906474820144,0.0351552170635337,0.100428066403654,0,0.501744630228548,0.102551633095611,0.0013297883467031,0,0.0580844676776565,0.0036354453788577,0.0018488045340231,0,0.0934863619895451,0.0066090199630051
airfoild,RF,RO,1503,5,161,10.7119095143047,0.0991442389345469,0.0002929439012276,0.464798227850682,0.0803771778184342,0.0162857724309514,0.0162857724309514,0.0162857724309514,0.0137605890527576,3.2978816286E-10,0.169954509116241,0.0208563397203678,0.0033266799733865,0.0006653359946773,0.2,0.22412810722673,0.116217675890249,0.340782912446406,0.0944237659685064,0.730272787757818,0.431137724550898,0.986027944111776,0.257223834745486,0.241516966067864,0.0545166517679143,0,0.358417315925227,0.0434370659655917,0.28209101743469,0.0006565656565656,0.724560824156939,0.141954537294448,0.0044352782713773,0,0.098069050366755,0.0082530307939584,0.0109600639174364,0,0.286693966101046,0.0252827110299545
